file,line,literal,target_exists,note
admin/migrations/003_migration.php,214,../dashboard.php,True,literal exists
admin/migrations/004_add_finance_material_tables.php,183,../dashboard.php,True,literal exists
admin/migrations/005_create_system_branding.php,109,../dashboards/super-admin.php?section=branding,True,literal exists
admin/migrations/005_optimize_database.php,250,/admin/dashboard.php,True,literal exists
admin/migrations/add_archive_columns.php,78,/admin/dashboards/info-dept.php,True,literal exists
admin/migrations/auto_fix_database.php,591,../dashboard.php,True,literal exists
admin/print_member.php,15,index.php,True,literal exists
admin/reports.php,78,/admin/dashboard.php,True,literal exists
admin/reports.php,190,/admin/api_export_members.php?tier=all&amp;format=csv,True,literal exists
admin/reports.php,191,/admin/export_pdf.php?format=csv&filter=all,True,literal exists
admin/reports.php,192,/admin/export_pdf.php?format=csv&filter=active,True,literal exists
admin/reports.php,193,/admin/export_pdf.php?format=csv&filter=waiting,True,literal exists
admin/reports.php,194,/admin/export_pdf.php?format=csv&filter=no_id,True,literal exists
admin/reports.php,195,/admin/export_pdf.php?format=csv&filter=male,True,literal exists
admin/reports.php,196,/admin/export_pdf.php?format=csv&filter=female,True,literal exists
admin/reports.php,202,/admin/export_pdf.php?format=pdf&filter=all,True,literal exists
admin/reports.php,203,/admin/export_pdf.php?format=pdf&filter=active,True,literal exists
admin/reports.php,204,/admin/export_pdf.php?format=pdf&filter=waiting,True,literal exists
admin/reports.php,205,/admin/export_pdf.php?format=pdf&filter=no_id,True,literal exists
admin/reports.php,206,/admin/export_pdf.php?format=pdf&filter=male,True,literal exists
admin/reports.php,207,/admin/export_pdf.php?format=pdf&filter=female,True,literal exists
admin/reports.php,213,/admin/export_pdf.php?format=docx&filter=all,True,literal exists
admin/reports.php,214,/admin/export_pdf.php?format=docx&filter=active,True,literal exists
admin/reports.php,215,/admin/export_pdf.php?format=docx&filter=no_id,True,literal exists
admin/reports.php,246,/admin/api_reports.php?action=get_analytics,True,literal exists
admin/reports.php,292,/admin/api_reports.php?action=get_filter_options,True,literal exists
admin/reports.php,308,/admin/api_reports.php?,True,literal exists
admin/reports.php,15,index.php,True,literal exists
admin/system_health.php,283,dashboard.php,True,literal exists
admin/system_health.php,291,dashboard.php,True,literal exists
admin/system_health.php,18,index.php,True,literal exists
admin/system_health.php,22,dashboard.php?error=access_denied,True,literal exists
admin/system_health.php,175,system_health.php?error=csrf,True,literal exists
admin/system_health.php,183,system_health.php?success=Error+log+cleared,True,literal exists
admin/system_health.php,193,system_health.php?success=Rate+limits+cleared,True,literal exists
admin/system_health.php,201,system_health.php?success=Session+cache+cleared,True,literal exists
admin/tools/backup.php,42,/admin/dashboards/super-admin.php?section=backup&backup_status=,True,literal exists
admin/users.php,422,dashboard.php,True,literal exists
admin/users.php,423,users.php,True,literal exists
admin/users.php,443,users.php,True,literal exists
admin/users.php,470,backend/user-save.php,True,literal exists
admin/users.php,655,backend/user-delete.php,True,literal exists
admin/users.php,6,index.php,True,literal exists
backend/components/notification_bell.php,384,/admin/api_notifications.php?action=list,True,literal exists
backend/components/notification_bell.php,431,/admin/api_notifications.php,True,literal exists
backend/components/notification_bell.php,443,/admin/api_notifications.php,True,literal exists
backend/components/notification_bell.php,458,/admin/api_notifications.php,True,literal exists
backend/components/notification_bell.php,481,/admin/api_notifications.php?action=count,True,literal exists
backend/migrations/002_add_academic_attendance_workflow.php,587,../dashboard.php,False,"REVIEW: may be retired, generated, or relative to an including route"
backend/migrations/002_migration.php,587,../dashboard.php,False,"REVIEW: may be retired, generated, or relative to an including route"
backend/migrations/003_add_assessments.php,214,../dashboard.php,False,"REVIEW: may be retired, generated, or relative to an including route"
backend/migrations/003_migration.php,214,../dashboard.php,False,"REVIEW: may be retired, generated, or relative to an including route"
backend/migrations/004_add_finance_material_tables.php,183,../dashboard.php,False,"REVIEW: may be retired, generated, or relative to an including route"
backend/migrations/005_create_system_branding.php,109,../dashboards/super-admin.php?section=branding,False,"REVIEW: may be retired, generated, or relative to an including route"
backend/migrations/005_optimize_database.php,250,/admin/dashboard.php,True,literal exists
backend/migrations/add_archive_columns.php,78,/admin/dashboards/info-dept.php,True,literal exists
backend/migrations/auto_fix_database.php,591,../dashboard.php,False,"REVIEW: may be retired, generated, or relative to an including route"
frontend/layouts/base.php,217,/frontend/pages/dashboard.php,True,literal exists
frontend/layouts/base.php,64,/admin/dashboard.php?error=access_denied,True,literal exists
frontend/pages/dashboard.php,15,/frontend/pages/login.php,True,literal exists
frontend/pages/dashboard.php,42,/admin/dashboard.php,True,literal exists
frontend/pages/edu_assignments.php,2,/admin/dashboards/edu_dept.php?section=teachers,True,literal exists
frontend/pages/edu_teachers.php,2,/admin/dashboards/edu_dept.php?section=teachers,True,literal exists
frontend/pages/finance_dept.php,80,/backend/auth/logout.php,True,literal exists
frontend/pages/login.php,9,/frontend/pages/dashboard.php,True,literal exists
frontend/pages/mezmur_dept.php,73,/backend/auth/logout.php,True,literal exists
index.php,697,/register_submit.php,True,literal exists
monitor/index.php,334,/admin/dashboard.php,True,literal exists
monitor/index.php,386,/admin/index.php?error=,True,literal exists
